IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150004524,DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,01/02/2015,14:55,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758,"(37.7809039696758, -122.411979487494)",15000452416040
150004596,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,01/02/2015,15:15,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758,"(37.7809039696758, -122.411979487494)",15000459616010
150004596,DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,01/02/2015,15:15,SOUTHERN,"ARREST, BOOKED",MARKET ST / JONES ST,-122.411979487494,37.7809039696758,"(37.7809039696758, -122.411979487494)",15000459616040
150027526,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,01/09/2015,20:13,TENDERLOIN,"ARREST, BOOKED",EDDY ST / TAYLOR ST,-122.410955248906,37.7841399509594,"(37.7841399509594, -122.410955248906)",15002752616621
150027526,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,01/09/2015,20:13,TENDERLOIN,"ARREST, BOOKED",EDDY ST / TAYLOR ST,-122.410955248906,37.7841399509594,"(37.7841399509594, -122.410955248906)",15002752616625
150054256,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,01/18/2015,10:14,CENTRAL,"ARREST, BOOKED",POST ST / HYDE ST,-122.416642370005,37.787245037815,"(37.787245037815, -122.416642370005)",15005425616010
150054256,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,01/18/2015,10:14,CENTRAL,"ARREST, BOOKED",POST ST / HYDE ST,-122.416642370005,37.787245037815,"(37.787245037815, -122.416642370005)",15005425616623
150109908,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,02/04/2015,23:21,MISSION,"ARREST, BOOKED",FOLSOM ST / 22ND ST,-122.414389290829,37.7557003660169,"(37.7557003660169, -122.414389290829)",15010990816010
150109908,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Wednesday,02/04/2015,23:21,MISSION,"ARREST, BOOKED",FOLSOM ST / 22ND ST,-122.414389290829,37.7557003660169,"(37.7557003660169, -122.414389290829)",15010990816622
150145247,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,02/16/2015,22:56,MISSION,"ARREST, BOOKED",18TH ST / BRYANT ST,-122.410120054433,37.7617606647003,"(37.7617606647003, -122.410120054433)",15014524716710
150151012,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,02/18/2015,16:35,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)",15015101216660
150151012,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,02/18/2015,16:35,TENDERLOIN,"ARREST, BOOKED",TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)",15015101216710
150161522,DRUG/NARCOTIC,POSSESSION OF HEROIN,Saturday,02/21/2015,20:54,BAYVIEW,"ARREST, BOOKED",MCKINNON AV / NEWHALL ST,-122.391090325597,37.7369085657287,"(37.7369085657287, -122.391090325597)",15016152216100
150166914,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,02/23/2015,16:28,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / FULTON ST,-122.416769999704,37.7795845776674,"(37.7795845776674, -122.416769999704)",15016691416621
150171286,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Tuesday,02/24/2015,19:43,MISSION,"ARREST, BOOKED",20TH ST / MISSION ST,-122.419052694349,37.7586324051562,"(37.7586324051562, -122.419052694349)",15017128616662
150159890,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Saturday,02/21/2015,10:43,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / FULTON ST,-122.416769999704,37.7795845776674,"(37.7795845776674, -122.416769999704)",15015989016652
150182255,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,02/28/2015,00:01,CENTRAL,"ARREST, BOOKED",COLUMBUS AV / UNION ST,-122.410208370518,37.8003148241057,"(37.8003148241057, -122.410208370518)",15018225516650
150252165,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Saturday,03/21/2015,22:56,BAYVIEW,"ARREST, BOOKED",CESAR CHAVEZ ST / 3RD ST,-122.387586780756,37.7502652918644,"(37.7502652918644, -122.387586780756)",15025216516623
150252165,DRUG/NARCOTIC,TRANSPORTATION OF COCAINE,Saturday,03/21/2015,22:56,BAYVIEW,"ARREST, BOOKED",CESAR CHAVEZ ST / 3RD ST,-122.387586780756,37.7502652918644,"(37.7502652918644, -122.387586780756)",15025216516626
150185378,DRUG/NARCOTIC,POSSESSION OF OPIATES,Saturday,02/28/2015,23:57,INGLESIDE,"ARREST, BOOKED",MISSION ST / EXCELSIOR AV,-122.433623421746,37.7262358304722,"(37.7262358304722, -122.433623421746)",15018537816210
150198575,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Thursday,03/05/2015,03:22,NORTHERN,"ARREST, BOOKED",OLIVE ST / LARKIN ST,-122.4178091031,37.7847098968616,"(37.7847098968616, -122.4178091031)",15019857516110
150274733,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Saturday,03/28/2015,18:06,PARK,"ARREST, BOOKED",CLAYTON ST / GROVE ST,-122.449517527025,37.7744602213672,"(37.7744602213672, -122.449517527025)",15027473316650
150299634,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,04/06/2015,00:40,TENDERLOIN,NONE,TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)",15029963416100
150299634,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,04/06/2015,00:40,TENDERLOIN,NONE,TURK ST / LEAVENWORTH ST,-122.414056291891,37.7827931071006,"(37.7827931071006, -122.414056291891)",15029963416710
